gene_id	gene_name	population	time_condition	mean_normalized_count	sem_normalized_count	n_samples	plot_expression
ENSMUSG00000093561	Gm20699	CD103+Tom+ LP Trm	Infected	1.080996676893428	1.080996676893428	3	2.0809966768934283
ENSMUSG00000093561	Gm20699	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000093561	Gm20699	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000093502	Gm20700	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000093502	Gm20700	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000093502	Gm20700	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000093502	Gm20700	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000093758	Gm20701	CD103+Tom+ LP Trm	Baseline	4.0205461009271986	4.020546100927199	3	5.0205461009271986
ENSMUSG00000093758	Gm20701	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000093758	Gm20701	CD103-Tom- LP Trm	Baseline	0.8219714820744096	0.8219714820744096	2	1.8219714820744097
ENSMUSG00000093758	Gm20701	CD103-Tom- LP Trm	Infected	0.5574664798526906	0.2846731971289369	3	1.5574664798526907
ENSMUSG00000093437	Gm20702	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000093437	Gm20702	CD103+Tom+ LP Trm	Infected	0.23458868763962584	0.23458868763962587	3	1.234588687639626
ENSMUSG00000093437	Gm20702	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000093437	Gm20702	CD103-Tom- LP Trm	Infected	0.2453335886119329	0.2453335886119329	3	1.245333588611933
ENSMUSG00000093622	Gm20703	CD103+Tom+ LP Trm	Baseline	1.743393854103991	1.743393854103991	3	2.7433938541039913
ENSMUSG00000093622	Gm20703	CD103+Tom+ LP Trm	Infected	0.4691773752792517	0.46917737527925174	3	1.4691773752792516
ENSMUSG00000093622	Gm20703	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000093622	Gm20703	CD103-Tom- LP Trm	Infected	12.797448540871061	12.797448540871063	3	13.797448540871061
ENSMUSG00000093559	Gm20705	CD103+Tom+ LP Trm	Baseline	26.4168153244111	15.849296540068742	3	27.4168153244111
ENSMUSG00000093559	Gm20705	CD103+Tom+ LP Trm	Infected	25.38072111728302	24.962299353926735	3	26.38072111728302
ENSMUSG00000093559	Gm20705	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000093559	Gm20705	CD103-Tom- LP Trm	Infected	54.80478826916752	27.457924900578323	3	55.80478826916752
ENSMUSG00000093580	Gm20706	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000093580	Gm20706	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000093580	Gm20706	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000093580	Gm20706	CD103-Tom- LP Trm	Infected	0.9655785220143	0.9655785220142998	3	1.9655785220143
ENSMUSG00000093594	Gm20707	CD103+Tom+ LP Trm	Baseline	39.287339877036345	19.568720009448253	3	40.287339877036345
ENSMUSG00000093594	Gm20707	CD103+Tom+ LP Trm	Infected	17.873883112814998	17.455966893740214	3	18.873883112814998
ENSMUSG00000093594	Gm20707	CD103-Tom- LP Trm	Baseline	51.09440623427845	51.09440623427845	2	52.09440623427845
ENSMUSG00000093594	Gm20707	CD103-Tom- LP Trm	Infected	43.89354163921328	34.99184964620891	3	44.89354163921328
ENSMUSG00000093485	Gm20708	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000093485	Gm20708	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000093485	Gm20708	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000093485	Gm20708	CD103-Tom- LP Trm	Infected	0.4906671772238658	0.4906671772238658	3	1.4906671772238658
ENSMUSG00000103245	Gm2071	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000103245	Gm2071	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000103245	Gm2071	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000103245	Gm2071	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000093538	Gm20711	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000093538	Gm20711	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
