gene_id	gene_name	condition	normalized_count	sem_normalized_count	raw_count	n_cells	n_samples	plot_expression
Sra1	Sra1	rechallenged	143.4941058750194	14.076761313607557	516.0	700	3	144.4941058750194
Apbb3	Apbb3	rechallenged	14.499176309528755	6.545415426320966	45.0	700	3	15.499176309528755
Slc35a4	Slc35a4	rechallenged	71.46092511958747	5.133400230803841	248.0	700	3	72.46092511958747
E230025N22Rik	E230025N22Rik	rechallenged	0.0	0.0	0.0	700	3	1.0
Cd14	Cd14	rechallenged	14.824787883023369	7.56570199750261	55.0	700	3	15.824787883023369
Tmco6	Tmco6	rechallenged	20.63916660845783	3.3642616039360402	69.0	700	3	21.63916660845783
Ndufa2	Ndufa2	rechallenged	417.22623417975666	2.9724550773282297	1458.0	700	3	418.22623417975666
Ik	Ik	rechallenged	106.34060307098825	6.313400919025226	377.0	700	3	107.34060307098825
Wdr55	Wdr55	rechallenged	40.66290408768631	1.7941917779069594	142.0	700	3	41.66290408768631
Dnd1	Dnd1	rechallenged	0.5563557308584598	0.5563557308584599	2.0	700	3	1.55635573085846
Hars	Hars	rechallenged	79.38298383220256	12.370521951124344	289.0	700	3	80.38298383220256
Hars2	Hars2	rechallenged	18.650715054151078	3.9634649552676713	64.0	700	3	19.650715054151078
Zmat2	Zmat2	rechallenged	160.77872703407638	16.818018932363085	578.0	700	3	161.77872703407638
Pcdha1	Pcdha1	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm37751	Gm37751	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdha2	Pcdha2	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdha3	Pcdha3	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdha4	Pcdha4	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm38225	Gm38225	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdha5	Pcdha5	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm37753	Gm37753	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdha6	Pcdha6	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdha7	Pcdha7	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdha8	Pcdha8	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdha9	Pcdha9	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdha11	Pcdha11	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm10545	Gm10545	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdha11.1	Pcdha11.1	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdha12	Pcdha12	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdhac1	Pcdhac1	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdhac2	Pcdhac2	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm10544	Gm10544	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm38097	Gm38097	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdhb1	Pcdhb1	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdhb2	Pcdhb2	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdhb3	Pcdhb3	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdhb4	Pcdhb4	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdhb5	Pcdhb5	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdhb6	Pcdhb6	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdhb7	Pcdhb7	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdhb8	Pcdhb8	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdhb9	Pcdhb9	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdhb10	Pcdhb10	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdhb11	Pcdhb11	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm37446	Gm37446	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdhb12	Pcdhb12	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdhb13	Pcdhb13	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdhb14	Pcdhb14	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdhb15	Pcdhb15	rechallenged	0.0	0.0	0.0	700	3	1.0
Pcdhb16	Pcdhb16	rechallenged	0.0	0.0	0.0	700	3	1.0
